[2, 3, 4, 8, 9, 12, 13, 14, 10, 11]
['GIoU', 'Objectness', 'Classification', 'Precision', 'Recall', 'val GIoU', 'val Objectness', 'val Classification', 'mAP@0.5', 'F1']
       0         1         2:GIoU  3 Obj       4:Cls      5         6         7        8:P      9:R       10:mAP    11:F1    12:vGiou   13:vObj   14:vCls
   232/272     4.65G     0.414     0.246         0      0.66       114       416     0.901     0.957      0.94     0.928     0.499     0.389         0
   233/272     4.65G     0.413     0.237         0      0.65       104       416     0.897      0.96      0.95     0.928     0.501     0.386         0
   234/272     4.65G     0.411     0.238         0     0.649        90       416     0.896     0.958      0.94     0.926     0.502     0.388         0
   235/272     4.65G      0.41      0.24         0      0.65       120       416     0.898     0.959     0.943     0.928       0.5     0.394         0
   236/272     4.65G     0.408     0.228         0     0.635        80       416     0.897      0.96     0.948     0.927     0.502     0.395         0
   237/272     4.65G     0.411     0.235         0     0.645       130       416     0.897      0.96     0.949     0.928     0.506     0.391         0
   238/272     4.65G     0.409     0.238         0     0.648        97       416     0.898     0.957      0.94     0.927     0.501     0.392         0
   239/272     4.65G     0.408     0.236         0     0.644       104       416       0.9     0.959     0.941     0.928     0.502     0.388         0
   240/272     4.65G      0.41     0.239         0     0.649       124       416       0.9     0.959     0.944     0.929     0.499     0.387         0
   241/272     4.65G     0.411     0.237         0     0.648       114       416     0.895     0.958      0.94     0.926       0.5     0.391         0
   242/272     4.65G     0.405     0.236         0     0.641       112       416       0.9      0.96     0.949     0.929     0.502     0.387         0
   243/272     4.65G     0.402     0.232         0     0.634       132       416     0.899     0.959     0.943     0.928     0.498     0.389         0
   244/272     4.65G     0.407     0.235         0     0.643        93       416     0.902      0.96     0.946      0.93     0.501     0.388         0
   245/272     4.65G     0.407     0.233         0      0.64        91       416     0.899     0.959     0.943     0.928     0.503     0.391         0
   246/272     4.65G     0.411     0.235         0     0.645       125       416     0.903     0.957     0.942     0.929     0.505     0.391         0
   247/272     4.65G     0.402     0.225         0     0.627        51       416     0.899     0.958     0.941     0.928     0.498     0.391         0
   248/272     4.65G     0.404     0.237         0     0.641       107       416     0.903     0.958     0.941      0.93     0.498     0.392         0
   249/272     4.65G     0.402     0.231         0     0.633       140       416     0.898     0.959     0.941     0.928     0.495     0.387         0
   250/272     4.65G     0.399     0.225         0     0.625       118       416     0.899     0.959     0.941     0.928     0.497     0.389         0
   251/272     4.65G     0.403     0.223         0     0.626       100       416     0.899     0.957     0.941     0.927     0.495      0.39         0
   252/272     4.65G     0.402     0.236         0     0.638        81       416     0.895      0.96     0.946     0.926     0.493     0.388         0
   253/272     4.65G     0.402     0.238         0     0.641        95       416     0.898     0.959     0.944     0.928     0.494      0.39         0
   254/272     4.65G     0.404     0.223         0     0.627        87       416     0.902     0.959     0.941     0.929     0.495     0.389         0
   255/272     4.65G       0.4     0.223         0     0.624       138       416     0.898     0.959     0.941     0.928     0.497     0.389         0
   256/272     4.65G       0.4      0.22         0      0.62       128       416     0.901      0.96     0.946     0.929     0.495     0.388         0
   257/272     4.65G     0.399      0.23         0     0.629       100       416     0.901     0.958     0.941     0.929     0.495     0.388         0
   258/272     4.65G     0.405     0.232         0     0.637       123       416       0.9     0.959     0.943     0.929     0.494     0.389         0
   259/272     4.65G     0.403     0.236         0     0.639       163       416     0.903     0.959     0.944      0.93     0.496     0.389         0
   260/272     4.65G     0.401     0.228         0     0.629        91       416     0.902     0.958     0.941     0.929     0.494     0.391         0
   261/272     4.65G       0.4     0.226         0     0.626       113       416     0.902     0.959     0.941      0.93     0.496     0.391         0
   262/272     4.65G       0.4     0.224         0     0.624       133       416     0.901     0.959     0.943     0.929     0.494     0.389         0
   263/272     4.65G     0.398     0.235         0     0.633       104       416       0.9      0.96     0.946     0.929     0.496     0.389         0
   264/272     4.65G       0.4      0.23         0      0.63        66       416     0.903     0.958     0.941      0.93     0.493     0.389         0
   265/272     4.65G     0.402     0.227         0     0.629       104       416     0.901      0.96     0.948     0.929     0.492     0.389         0
   266/272     9.16G       0.4     0.231         0     0.631       160       416       0.9     0.959     0.941     0.929     0.498     0.385         0
   267/272     9.17G     0.397     0.227         0     0.624       126       416       0.9     0.959     0.943     0.929     0.498     0.386         0
   268/272     9.17G     0.397      0.23         0     0.627       109       416       0.9     0.959     0.943     0.928     0.498     0.384         0
   269/272     9.17G     0.399     0.222         0     0.622       128       416     0.898     0.959     0.943     0.928     0.496     0.385         0
   270/272     9.17G     0.399     0.231         0     0.631        92       416       0.9     0.959     0.941     0.929     0.497     0.385         0
   271/272     9.17G     0.398     0.226         0     0.624       143       416       0.9     0.959     0.941     0.929     0.496     0.386         0
   272/272     9.17G     0.403     0.237         0      0.64        62       416     0.558     0.978     0.958     0.711     0.498     0.388         0
